Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
ईरान का अधिकांश भाग <mask> क्षेत्र में है।	ईरान किस जलवायु क्षेत्र से संबंधित है?	समशीतोष्ण	समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय	climate	पूर्वी क्षेत्र	I
केन्या का अधिकांश भाग <mask> क्षेत्र में है।	केन्या किस जलवायु क्षेत्र से संबंधित है?	उष्णकटिबंधीय	समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय	climate	केन्या किस जलवायु क्षेत्र से संबंधित है?	I
						
अमेरिका में स्टॉक की बढ़ती कीमत को <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग अमेरिका में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?	हरा	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है कौन सा रंग अ	I
चीन में स्टॉक की बढ़ती कीमत को <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग चीन में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	पीला रंग की कीमतों में वृद्धि का प्रतिनिधित्व करता है।	F
भारत में स्टॉक की बढ़ती कीमत को <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग भारत में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?	हरा	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	पीला	F
ईरान में स्टॉक की बढ़ती कीमत को <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग ईरान में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?	हरा	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	पीला रंग की कीमतों में वृद्धि का प्रतिनिधित्व करता है।	F
केन्या में स्टॉक की बढ़ती कीमत को <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग केन्या में स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?	हरा	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	केन्या का रंग केन्या में स्टॉक की कीमतों में वृद्धि का प्रतिनिध	I
						
गिरते स्टॉक मूल्य को अमेरिका में <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग अमेरिका में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है कौन सा रंग अम	I
गिरते स्टॉक मूल्य को चीन में <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग चीन में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?	हरा	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	पीला रंग की कीमत के अनुसार चीन में गिरावट का प्रतिनिधित्व करता ह	F
गिरते स्टॉक मूल्य को भारत में <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग भारत में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	पीला रंग की कीमतों में गिरावट का प्रतिनिधित्व करता है।	F
गिरते स्टॉक मूल्य को ईरान में <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग ईरान में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	प्रतिनिधित्व करने वाले कीमतों में से कुछ कीमतों में गिरावट का	I
गिरते स्टॉक मूल्य को केन्या में <mask> रंग द्वारा दर्शाया जाएगा।	कौन सा रंग केन्या में स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	stock price	केन्या का रंग केन्या में स्टॉक की कीमतों में गिरावट का प्रतिनिध	I
						
पारंपरिक अमेरिकी शादियों में दुल्हन की पोशाक का रंग आमतौर पर <mask> होता है।	अमेरिकी शादी में दुल्हन के पहनावे का रंग क्या होता है?	सफेद	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	wedding	क्या आप इस पोस्ट को पढ़ने के लिए अपने साथ में रिकॉर्ड करना चाहते ह	I
पारंपरिक चीनी शादियों में दुल्हन की पोशाक का रंग आमतौर पर <mask> होता है।	चीनी शादी में दुल्हन के पहनावे का रंग क्या होता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	wedding	कुछ सेक्सी रंग होता है जो कि कुछ सेक्सी रंग होता है जो कि कुछ सेक्	I
पारंपरिक हिंदू शादियों में दुल्हन की पोशाक का रंग आमतौर पर <mask> होता है।	हिंदू शादी में दुल्हन के पहनावे का रंग क्या होता है?	लाल	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	wedding	कुछ सेक्सी महिलाओं के लिए यह सुनिश्चित करना चाहिए कि उनके पहनाव	I
पारंपरिक फ़ारसी शादियों में दुल्हन की पोशाक का रंग आमतौर पर <mask> होता है।	फ़ारसी शादी में दुल्हन के पहनावे का रंग क्या होता है?	सफेद	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	wedding	कुछ सेक्सी रंग होता है जो कि कुछ सेक्सी रंग होता है जो कि कुछ सेक्	I
पारंपरिक केन्याी शादियों में दुल्हन की पोशाक का रंग आमतौर पर <mask> होता है।	केन्याी शादी में दुल्हन के पहनावे का रंग क्या होता है?	सफेद	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	wedding	केन्याी शादी में दुल्हन के पहनावे का रंग काला होता है।	F
						
पारंपरिक अमेरिकी अंत्येष्टि में लोगों के पहनावे का रंग आमतौर पर <mask> होता है।	अंतिम संस्कार में अमेरिकी किस रंग की पोशाक पहनते हैं?	काला	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	funeral	लाल	F
पारंपरिक चीनी अंत्येष्टि में लोगों के पहनावे का रंग आमतौर पर <mask> होता है।	अंतिम संस्कार में चीनी किस रंग की पोशाक पहनते हैं?	सफेद	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	funeral	लाल	F
पारंपरिक हिंदू अंत्येष्टि में लोगों के पहनावे का रंग आमतौर पर <mask> होता है।	अंतिम संस्कार में हिंदू किस रंग की पोशाक पहनते हैं?	सफेद	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	funeral	पीला	F
पारंपरिक फ़ारसी अंत्येष्टि में लोगों के पहनावे का रंग आमतौर पर <mask> होता है।	अंतिम संस्कार में फ़ारसी किस रंग की पोशाक पहनते हैं?	काला	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	funeral	लाल	F
पारंपरिक केन्याी अंत्येष्टि में लोगों के पहनावे का रंग आमतौर पर <mask> होता है।	अंतिम संस्कार में केन्याी किस रंग की पोशाक पहनते हैं?	काला	लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद	funeral	रंगीन	F
						
अमेरिका में शादियाँ आमतौर पर एक दिन से <mask> तक चलती हैं।	क्या एक अमेरिकी विवाह समारोह एक दिन से अधिक समय तक चलता है?	कम	कम, अधिक	wedding	अमेरिकी विवाह समारोह के दौरान सभी विवाहित लोग अपने परिवार के साथ	I
चीन में शादियाँ आमतौर पर एक दिन से <mask> तक चलती हैं।	क्या चीनी विवाह समारोह एक दिन से अधिक समय तक चलता है?	कम	कम, अधिक	wedding	चीनी विवाह समारोह के दौरान सभी चीनी विवाह के लिए समय सीमा के अनुसा	I
भारत में शादियाँ आमतौर पर एक दिन से <mask> तक चलती हैं।	क्या भारतीय विवाह समारोह एक दिन से अधिक समय तक चलता है?	अधिक	कम, अधिक	wedding	भारतीय विवाह समारोह के दिन से अधिक समय तक चलता है	T
ईरान में शादियाँ आमतौर पर एक दिन से <mask> तक चलती हैं।	क्या ईरानी विवाह समारोह एक दिन से अधिक समय तक चलता है?	कम	कम, अधिक	wedding	ईरानी विवाह समारोह के दौरान सभी विवाहित महिलाओं को सम्मानित किया	I
केन्या में शादियाँ आमतौर पर एक दिन से <mask> तक चलती हैं।	क्या केन्याी विवाह समारोह एक दिन से अधिक समय तक चलता है?	कम	कम, अधिक	wedding	केन्याी विवाह समारोह एक दिन से अधिक समय तक चलता है।	F
